,ID,Gender,Age,Your Industry,Occupation,2nd Occupation,Job Level,Income,State,Job Role Happiness,Highest Degree Completed,Marital Status,Sexual Satisfaction,Sex Frequency,Orgasm Frequency,Orgasm Faking,Sexual Performance,Excercise Frequency,Desirable Level,Better Sex Before Graduating
43,13363967297,Female,> 60,Education,Administrative assistant,,Middle Management,"$75,000-$99,999",New Jersey,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Very satisfied,About once a week,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Somewhat agree
44,13363967159,Female,45-60,Healthcare & Pharmaceuticals,Registered nurse, Doctor,Intermediate,"$100,000-$124,999",Minnesota,Somewhat happy,Ph.D. or higher,"Single, never married",Neither satisfied nor dissatisfied,Once a month,Usually,Never,Average,Once per week,Somewhat desirable,Somewhat disagree
45,13363966337,Female,45-60,Retail & Consumer Durables,Retail sales associate,,Owner/Executive/C-Level,"$75,000-$99,999",Oregon,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,A few times a week,,Never,Above average,Several times per week,Somewhat desirable,Strongly disagree
46,13363966193,Female,> 60,Nonprofit,Administrative assistant,,Middle Management,Prefer not to answer,Texas,Somewhat happy,High School,Married or domestic partnership,Satisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree
47,13363965950,Female,45-60,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,"$25,000-$49,999",Illinois,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,Once a month,Sometimes,Never,Average,Several times per week,Somewhat desirable,Somewhat agree
48,13363965943,Female,45-60,Insurance,Bookkeeper,,Middle Management,"$100,000-$124,999",Michigan,Somewhat happy,Master's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
49,13363965913,Female,45-60,"Utilities, Energy, and Extraction",Administrative assistant,,Middle Management,"$175,000-$199,999",New Jersey,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,About once a week,Always,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
50,13363965229,Female,45-60,Food & Beverages,Line supervisor,,Intermediate,Prefer not to answer,Pennsylvania,Very happy,High School,Divorced,Dissatisfied,Less than once a month,Always,Rarely,Above average,Several times per week,Not so desirable,Strongly agree
51,13363964978,Male,45-60,"Telecommunications, Technology, Internet & Electronics",Laborer,,Entry Level,"$0-$9,999",Indiana,Somewhat unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Usually,Never,Above average,I never work out or exercise,Somewhat desirable,Strongly agree
52,13363964321,Female,> 60,Retail & Consumer Durables,Administrative assistant,,Middle Management,"$75,000-$99,999",Delaware,Neither happy nor unhappy,Bachelor's Degree,Divorced,Neither satisfied nor dissatisfied,A few times a month,Usually,Never,Above average,Several times per week,Extremely desirable,Agree
53,13363964143,Female,45-60,Retail & Consumer Durables,Retail sales associate,,Intermediate,"$25,000-$49,999",Washington,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Very dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Once per week,Not so desirable,Agree
54,13363962968,Female,45-60,Healthcare & Pharmaceuticals,Registered nurse, Respiratory Therapist,Middle Management,"$150,000-$174,999",California,Very happy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Above average,I never work out or exercise,Not so desirable,Disagree
55,13363963512,Female,45-60,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,"$10,000-$24,999",Illinois,Somewhat happy,Trade/Vocation School,Divorced,Neither satisfied nor dissatisfied,A few times a week,Never,Usually,Far above average,Several times per week,Not so desirable,Neither agree nor disagree
56,13363963060,Female,45-60,Education,Marketing specialist, Teacher,Other (please specify),Prefer not to answer,Missouri,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,A few times a month,Always,Never,Average,Several times per week,Somewhat desirable,Disagree
57,13363962370,Male,> 60,I am currently not employed,Software developer,,Other (please specify),"$25,000-$49,999",Massachusetts,Very happy,High School,"Single, never married",Satisfied,About once a week,Rarely,Never,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree
58,13363956159,Female,45-60,Healthcare & Pharmaceuticals,Office clerk,,Intermediate,"$50,000-$74,999",Michigan,Somewhat happy,High School,Married or domestic partnership,Dissatisfied,Less than once a month,Always,Rarely,Average,Several times per week,Somewhat desirable,Neither agree nor disagree
59,13363954665,Male,30-44,Airlines & Aerospace (including Defense),Line supervisor,,Intermediate,"$100,000-$124,999",Texas,Somewhat happy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Agree
60,13363954020,Male,45-60,Food & Beverages,Operations manager, General manager,Senior Management,Prefer not to answer,Texas,Somewhat happy,Master's Degree,Married or domestic partnership,Dissatisfied,A few times a month,Always,Never,Average,Once per week,Somewhat desirable,Agree
61,13363950710,Male,18-29,Entertainment & Leisure,Customer service representative,,Middle Management,"$75,000-$99,999",Illinois,Somewhat happy,High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Rarely,Average,Several times per week,Somewhat desirable,Agree
62,13363949636,Male,45-60,Manufacturing,Laborer,,Entry Level,"$25,000-$49,999",Oklahoma,Somewhat happy,High School,Married or domestic partnership,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Agree
63,13363949633,Female,45-60,Government,Operations manager,,Middle Management,"$75,000-$99,999",New York,Somewhat unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,I never work out or exercise,Somewhat desirable,Somewhat disagree
64,13363945062,Female,> 60,Retail & Consumer Durables,Customer service representative,,Owner/Executive/C-Level,"$25,000-$49,999",Massachusetts,Somewhat happy,High School,Married or domestic partnership,Satisfied,A few times a month,Always,Never,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree
65,13363944484,Male,45-60,Education,Cashier, Teacher,Middle Management,"$75,000-$99,999",Ohio,Somewhat happy,Master's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree
66,13363942166,Female,45-60,Retail & Consumer Durables,Carpenter, House Painter,Owner/Executive/C-Level,"$25,000-$49,999",Iowa,Somewhat happy,High School,Married or domestic partnership,Satisfied,A few times a week,Usually,Sometimes,Above average,Once per week,Somewhat desirable,Somewhat disagree
67,13363935092,Female,> 60,Insurance,Retail sales associate,,Owner/Executive/C-Level,Prefer not to answer,Nevada,Somewhat unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a month,Usually,Never,Far above average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree
68,13363932842,Male,45-60,"Telecommunications, Technology, Internet & Electronics",Office clerk, Sales Manager,Middle Management,Prefer not to answer,New York,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Usually,Never,Above average,Every day of the week,Not so desirable,Disagree
69,13363925283,Female,45-60,Manufacturing,Software developer,,Intermediate,"$150,000-$174,999",Minnesota,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a month,Rarely,Never,Below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree
70,13363923366,Male,45-60,Manufacturing,Laborer,,Intermediate,"$50,000-$74,999",Washington,Somewhat happy,High School,"Single, never married",Very satisfied,Every day,Always,Never,Average,Once per week,Somewhat desirable,Disagree
71,13363919098,Male,45-60,Healthcare & Pharmaceuticals,Construction worker, Physician,Owner/Executive/C-Level,Prefer not to answer,Oregon,Very happy,Ph.D. or higher,Divorced,Satisfied,A few times a week,Sometimes,Never,Far above average,Every day of the week,Very desirable,Disagree
72,13363918441,Female,45-60,Education,Administrative assistant,,Middle Management,"$125,000-$149,999",Kentucky,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Always,Never,Average,Once per week,Not so desirable,Strongly agree
73,13363917924,Female,> 60,Food & Beverages,Construction worker,,Owner/Executive/C-Level,"$25,000-$49,999",Michigan,Very happy,Some High School,Married or domestic partnership,Very satisfied,About once a week,Usually,Sometimes,Average,Once per week,Very desirable,Agree
74,13363917903,Male,18-29,"Telecommunications, Technology, Internet & Electronics",Software developer,,Entry Level,"$75,000-$99,999",Florida,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Below average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree
75,13363914301,Male,30-44,Finance & Financial Services,Office clerk,,Intermediate,"$150,000-$174,999",New Jersey,Neither happy nor unhappy,Master's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Once a month,Always,Sometimes,Average,Once per week,Somewhat desirable,Disagree
76,13363913598,Male,> 60,"Construction, Machinery, and Homes",Operations manager,,Senior Management,"$125,000-$149,999",Texas,Very happy,Master's Degree,Married or domestic partnership,Very satisfied,Less than once a month,Always,Never,Above average,I never work out or exercise,Somewhat desirable,Somewhat disagree
77,13363910107,Male,45-60,Food & Beverages,Bartender,,Entry Level,"$50,000-$74,999",New York,Neither happy nor unhappy,High School,Divorced,Dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Not so desirable,Neither agree nor disagree
78,13363908120,Male,30-44,I am currently not employed,Laborer,,Entry Level,"$10,000-$24,999",Ohio,Neither happy nor unhappy,High School,Married or domestic partnership,Very satisfied,A few times a week,Always,Never,Average,Every day of the week,Not at all desirable,Strongly disagree
79,13363904194,Male,45-60,Entertainment & Leisure,Stocking associate,,Owner/Executive/C-Level,"$25,000-$49,999",Florida,Very happy,Ph.D. or higher,Married or domestic partnership,Very satisfied,Every day,Always,Never,Far below average,Several times per week,Extremely desirable,Strongly agree
80,13363900481,Male,18-29,Finance & Financial Services,Retail sales associate,,Middle Management,"$50,000-$74,999",North Carolina,Neither happy nor unhappy,High School,Married or domestic partnership,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree
81,13363900304,Male,45-60,Manufacturing,Retail sales associate,,Middle Management,"$75,000-$99,999",West Virginia,Somewhat happy,Master's Degree,Married or domestic partnership,Satisfied,Every day,Always,Never,Above average,Every day of the week,Not at all desirable,Strongly agree
82,13363896389,Male,30-44,Entertainment & Leisure,Laborer, Actor,Other (please specify),"$10,000-$24,999",Ohio,Somewhat happy,Bachelor's Degree,"Single, never married",Very satisfied,A few times a week,Usually,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree
83,13363894609,Male,18-29,Healthcare & Pharmaceuticals,Customer service representative,,Entry Level,"$100,000-$124,999",New York,Somewhat happy,High School,"Single, never married",Neither satisfied nor dissatisfied,Once a month,Sometimes,Never,Above average,Less than once per week,Very desirable,Neither agree nor disagree
84,13363894113,Male,> 60,I am currently not employed,Marketing specialist,,Middle Management,"$125,000-$149,999",Florida,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Disagree
85,13363892945,Female,45-60,Education,Administrative assistant, Personnel Analyst,Middle Management,"$50,000-$74,999",California,Somewhat happy,High School,"Single, never married",Dissatisfied,Less than once a month,Usually,Never,Above average,Several times per week,Very desirable,Agree
86,13363892273,Female,45-60,Healthcare & Pharmaceuticals,Administrative assistant,,Intermediate,"$25,000-$49,999",Illinois,Very happy,High School,Widowed,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,I never work out or exercise,Not so desirable,Agree
87,13363890951,Male,45-60,"Construction, Machinery, and Homes",Construction worker,,Middle Management,"$50,000-$74,999",California,Neither happy nor unhappy,High School,Married or domestic partnership,Neither satisfied nor dissatisfied,About once a week,Usually,Never,Average,Once per week,Not so desirable,Somewhat agree
88,13363882119,Male,30-44,Agriculture,Operations manager, President,Owner/Executive/C-Level,"$50,000-$74,999",Montana,Very happy,Bachelor's Degree,"Single, never married",Very dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Disagree
89,13363881608,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Laborer,,Intermediate,"$50,000-$74,999",South Carolina,Very happy,Trade/Vocation School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
90,13363881326,Male,18-29,Healthcare & Pharmaceuticals,Laborer,,Middle Management,"$0-$9,999",Ohio,Somewhat happy,Master's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Always,Sometimes,Average,Once per week,Somewhat desirable,Neither agree nor disagree
91,13363879947,Male,18-29,Retail & Consumer Durables,Customer service representative,,Middle Management,"$75,000-$99,999",Delaware,Neither happy nor unhappy,Master's Degree,Divorced,Very dissatisfied,Once a month,Rarely,Never,Average,Once per week,Somewhat desirable,Neither agree nor disagree
92,13363871588,Male,30-44,Agriculture,Food preparation worker,,Senior Management,"$100,000-$124,999",Illinois,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Very satisfied,A few times a week,Always,Never,Far above average,Several times per week,Somewhat desirable,Disagree
93,13363871492,Female,> 60,"Telecommunications, Technology, Internet & Electronics",Medical assistant,,Middle Management,"$25,000-$49,999",California,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,A few times a week,Usually,Always,Average,Every day of the week,Very desirable,Agree
94,13363868722,Male,45-60,Food & Beverages,Retail sales associate,,Middle Management,Prefer not to answer,Texas,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,A few times a month,Usually,Never,Far above average,Several times per week,Very desirable,Strongly agree
95,13363867060,Female,45-60,Retail & Consumer Durables,Cashier,,Intermediate,"$10,000-$24,999",Ohio,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,About once a week,Always,Never,Average,Once per week,Somewhat desirable,Neither agree nor disagree
96,13363865169,Male,18-29,Healthcare & Pharmaceuticals,Laborer,,Entry Level,"$10,000-$24,999",Hawaii,Somewhat happy,High School,"Single, never married",Very dissatisfied,Less than once a month,Always,Never,Average,Once per week,Very desirable,Somewhat disagree
97,13363864486,Male,45-60,Manufacturing,Laborer,,Entry Level,"$25,000-$49,999",Ohio,Very happy,High School,"Single, never married",Satisfied,About once a week,Always,Never,Above average,Once per week,Somewhat desirable,Neither agree nor disagree
98,13363860697,Male,18-29,Entertainment & Leisure,Laborer, Pet caretaker,Owner/Executive/C-Level,"$10,000-$24,999",New York,Very happy,High School,"Single, never married",Satisfied,About once a week,Always,Never,Above average,Several times per week,Very desirable,Neither agree nor disagree
99,13363860614,Male,18-29,Insurance,Customer service representative,,Entry Level,"$25,000-$49,999",New York,Very happy,High School,"Single, never married",Very satisfied,A few times a month,Usually,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
100,13363858642,Female,45-60,"Telecommunications, Technology, Internet & Electronics",Administrative assistant,,Intermediate,"$75,000-$99,999",Maryland,Neither happy nor unhappy,High School,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a week,Usually,Never,Far above average,Once per week,Somewhat desirable,Neither agree nor disagree
101,13363858494,Male,18-29,Business Support & Logistics,Stocking associate,,Senior Management,"$75,000-$99,999",Utah,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a month,Sometimes,Sometimes,Average,Several times per week,Very desirable,Somewhat agree
102,13363855898,Female,> 60,Healthcare & Pharmaceuticals,Medical assistant, Radiolologic technologist,Other (please specify),"$125,000-$149,999",California,Very unhappy,Trade/Vocation School,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree
103,13363855352,Male,45-60,Nonprofit,Operations manager,,Owner/Executive/C-Level,"$50,000-$74,999",Florida,Very happy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Once a month,Rarely,Never,Average,Several times per week,Somewhat desirable,Strongly agree
104,13363854115,Male,30-44,Healthcare & Pharmaceuticals,Operations manager,,Owner/Executive/C-Level,"$75,000-$99,999",Arizona,Very happy,Bachelor's Degree,"Single, never married",Very satisfied,About once a week,Always,Rarely,Above average,Every day of the week,Very desirable,Disagree
105,13363851885,Female,45-60,Food & Beverages,Server,,Senior Management,"$25,000-$49,999",Georgia,Neither happy nor unhappy,High School,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Below average,I never work out or exercise,Not so desirable,Agree
